benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup
OSS/xscreensaver-5.42/apollonian.bc,OK,6.479346522999999,6.504227543,209.31788799999998,OK,5.571214167000001,5.620177958999999,37.298176,0.17818914739999997,1.157299216
OSS/xscreensaver-5.42/galaxy.bc,OK,6.491024157000001,6.516168949,208.781312,OK,5.557615797,5.580106582999999,36.29056,0.1738209213,1.167749908
OSS/fvwm-2.6.8/fvwm-root.bc,OK,6.518625328,6.536868555,161.480704,OK,6.838442486,6.871933455,64.04096,0.396585836,0.9512415389
OSS/xscreensaver-5.42/julia.bc,OK,6.49138838,6.548105512,203.964416,OK,5.5205999839999995,5.540282655,35.831808,0.1756767612,1.181908202
OSS/xscreensaver-5.42/sierpinski.bc,OK,6.487664711,6.548330739,204.37811200000002,OK,5.57886862,5.628219443,35.676159999999996,0.17455959280000002,1.163481773
OSS/coreutils-8.31/realpath.bc,OK,6.547952802,6.572045782999999,121.33171200000001,OK,6.140832242999999,6.195937565,44.408832000000004,0.36601174799999997,1.06070239
OSS/xscreensaver-5.42/euler2d.bc,OK,6.524980957,6.57604481,206.442496,OK,5.595115923,5.680332233,37.957632000000004,0.1838653995,1.157686653
OSS/xscreensaver-5.42/bouboule.bc,OK,6.440162441,6.588373862,203.12063999999998,OK,5.380619255,5.488418214,36.552704,0.17995563620000002,1.200413964
OSS/xscreensaver-5.42/slip.bc,OK,6.52136543,6.592041882999999,209.16224,OK,5.392188971,5.440543631000001,37.269504,0.1781846666,1.211651322
OSS/xscreensaver-5.42/penrose.bc,OK,6.506707041,6.596245647000001,207.47878400000002,OK,5.524605285,5.576272822000001,38.006784,0.1831839539,1.182913006
OSS/xscreensaver-5.42/demon.bc,OK,6.60867862,6.664268268,209.760256,OK,5.59627889,5.680446181000001,39.022591999999996,0.1860342505,1.173194509
OSS/xscreensaver-5.42/crystal.bc,OK,6.661851945,6.712321825,211.447808,OK,5.758493157,5.819959407000001,39.165952000000004,0.18522751489999997,1.153327945
OSS/xscreensaver-5.42/flow.bc,OK,6.694648906,6.719990106,213.041152,OK,5.576489577,5.624385221,39.604224,0.1858994078,1.1947954920000001
OSS/coreutils-8.31/fmt.bc,OK,6.723956113,6.744143543,92.082176,OK,6.3293263479999995,6.380110081000001,55.664640000000006,0.6045104754999999,1.057057552
OSS/udns-0.4/dnsget.bc,OK,6.69515088,6.748443101,100.343808,OK,6.366972337999999,6.388290779,48.480256,0.48314148090000003,1.0563769459999999
OSS/coreutils-8.31/mktemp.bc,OK,6.729965276000001,6.796072551,118.10816000000001,OK,6.232638972,6.287994772999999,25.817088000000002,0.2185885209,1.0808012409999999
OSS/xscreensaver-5.42/swirl.bc,OK,6.789329625,6.81597501,217.67782400000002,OK,5.781391542000001,5.844160507000001,40.423424,0.18570299559999998,1.166288127
OSS/coreutils-8.31/pwd.bc,OK,6.793726257,6.815976561,87.609344,OK,6.388183484,6.408084754,59.469823999999996,0.6788068633,1.063652686
OSS/brltty-6.0/brltty-trtxt.bc,OK,6.951661587,6.972052542999999,281.93177599999996,OK,6.426801154,6.512118007000001,58.929152,0.2090191919,1.070627488
OSS/xscreensaver-5.42/hopalong.bc,OK,6.842669526,6.996176618,214.319104,OK,5.847485524,5.8720240839999995,37.875712,0.1767257855,1.191442085
OSS/xscreensaver-5.42/strange.bc,OK,6.9653019689999995,7.012165306,222.363648,OK,6.122271621,6.176008774,42.889216,0.1928787209,1.135387847
OSS/xscreensaver-5.42/polyominoes.bc,OK,6.9666334139999995,7.020388952999999,220.413952,OK,5.730988685,5.840434075,45.121536,0.2047127035,1.202032052
OSS/cellwriter-1.3.6/cellwriter.bc,OK,6.954846882999999,7.028126262000001,169.873408,OK,5.738618774,5.81212818,83.697664,0.4927060979,1.209217355
OSS/udftools-2.1/cdrwtool.bc,OK,6.93208047,7.148437607999999,251.74016,OK,5.704504319,5.763998095,42.397696,0.1684184836,1.240187365
OSS/krb5/kdb5_ldap_util.bc,OK,7.146332502999999,7.164110631000001,113.659904,OK,6.829394613,6.904382148,41.992191999999996,0.3694547551,1.037617918
OSS/udftools-2.1/udflabel.bc,OK,7.227437807,7.192064339,178.57740800000002,OK,6.319450054,6.340112485,38.694912,0.2166842516,1.13437488
OSS/imwheel-1.0.0pre12/imwheel.bc,OK,7.185379418999999,7.204144006,103.559168,OK,6.406098332999999,6.420458705,84.6848,0.8177431476000001,1.12206064
OSS/xscreensaver-5.42/pacman.bc,OK,7.118924653,7.220259559,223.16646400000002,OK,5.874368027,5.960486733,46.03904,0.206299097,1.211354019
OSS/dnstracer-1.9/dnstracer.bc,OK,7.216365149,7.264050762999999,113.05779199999999,OK,6.957622818,6.97640372,96.305152,0.8518223317,1.041231422
OSS/bogofilter-1.2.4/bogoutil.bc,OK,7.2883991560000005,7.30806805,170.438656,OK,6.769637661,6.796174578,57.217024,0.33570450119999995,1.075320824
