benchmark,walltime (s)-ikos,memory (MB)-ikos,walltime (s)-mikos,memory (MB)-mikos,memreduction
OSS/lxsession-0.5.4/lxsession.bc,146.1240906,5831.380992,81.5652813,129.671168,0.02223678545
OSS/rox-2.11/ROX-Filer.bc,362.2649213,9568.681984,400.616026,328.8473600000001,0.03436704873
OSS/tor-0.3.5.8/tor-resolve.bc,58.35595586,1929.928704,53.10001034,70.365184,0.036459991430000005
OSS/openssh-8.0p1/ssh-keygen.bc,1212.216545,29670.338560000004,1169.700035,1128.185856,0.03802403042
OSS/xsane-0.999/xsane.bc,499.7643913,10118.06618,467.5322953,429.50656,0.04244947132
