benchmark,walltime (s)-ikos,memory (MB)-ikos,walltime (s)-mikos,memory (MB)-mikos,memreduction
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--target--target_core_mod.ko-entry_point_true-unreach-call.cil.out.i,1316.204415,60416.85606000001,1109.632049,2967.158784,0.04911143971
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-wireless-libertas-libertas_true-unreach-call.cil.i,2094.248012,60398.39539,1620.252102,626.33984,0.0103701404
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--net--wireless--libertas--libertas.ko-entry_point_true-unreach-call.cil.out.i,1633.900384,59902.19366,1307.4518380000004,306.9706240000001,0.005124530593
SVC/ldv-challenges/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-wireless-libertas-libertas_true-unreach-call.cil.i,2059.088045,59826.11456,1687.7439739999998,2712.952832,0.04534730112
SVC/ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-sound--pci--cs46xx--snd-cs46xx.ko-entry_point_true-unreach-call.cil.out.i,3100.732183,58086.61299,2497.795944,193.04448,0.003323390194
