benchmark,walltime (s)-ikos,memory (MB)-ikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup
SVC/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-media-usb-tm6000-tm6000_true-unreach-call.cil.i,745.4358896000001,25903.32518,413.4405339,234.020864,0.009034394709,1.803006306
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--st.ko-entry_point_true-unreach-call.cil.out.i,214.61991,20817.05574,119.5970188,546.586624,0.02625667293,1.794525584
SVC/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.i,111.87065420000002,153.624576,62.4810485,114.56512,0.7457473470999999,1.790473381
