benchmark,walltime (s)-ikos,memory (MB)-ikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup
OSS/packeth-1.9/packETH.bc,188.7083108,152.86272,83.82426164,119.504896,0.7817792069,2.251237376
OSS/lxsession-0.5.4/lxsession.bc,146.1240906,5831.380992,81.5652813,129.671168,0.02223678545,1.791498641
OSS/xscreensaver-5.42/braid.bc,6.484175327000001,203.239424,4.873140797,36.364288,0.17892339629999998,1.330594702
