benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-dvb-core-dvb-core_true-unreach-call.cil.i,OK,580.1042347,580.1400785,13071.38048,OK,445.8844558,445.9245467,248.9344,0.01904423181,1.300982605
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-rc-imon_true-unreach-call.cil.i,OK,98.96200009,99.29225838,2776.301568,OK,73.72614777,74.09642589,130.25689599999998,0.04691741614,1.340041131
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-usb-dvb-usb-dvb-usb-cxusb_true-unreach-call.cil.i,OK,128.464785,128.7959971,6180.642816,OK,84.6090329,84.78837490000001,142.90534399999999,0.02312143708,1.519028962
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-usb-dvb-usb-dvb-usb-dw2102_true-unreach-call.cil.i,OK,1473.1713320000001,1473.688087,27082.6496,OK,1027.570559,1027.652234,1315.659776,0.04857943353,1.4340338469999998
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-usb-tm6000-tm6000_true-unreach-call.cil.i,OK,857.6846611999999,857.7758402000001,29491.42528,OK,603.5216617000001,603.5720279,1023.660032,0.034710429300000005,1.4211656609999999
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-3com-3c59x_true-unreach-call.cil.i,OK,106.28447849999999,106.33195309999999,3189.735424,OK,76.00713484,76.15191407,129.55648,0.040616685330000006,1.396313598
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-amd-pcnet32_true-unreach-call.cil.i,OK,100.6651368,100.7438228,1812.672512,OK,71.86006581,71.91211290000001,69.709824,0.03845693226,1.400929811
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-myricom-myri10ge-myri10ge_true-unreach-call.cil.i,OK,1033.794433,1033.879913,10021.26131,OK,825.8934332,825.9679815000001,203.485184,0.02030534657,1.251719118
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-natsemi-natsemi_true-unreach-call.cil.i,OK,1312.898891,1313.0279050000001,15906.62349,OK,1070.766546,1070.86004,79.59756800000001,0.005004051806,1.226143339
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-nvidia-forcedeth_true-unreach-call.cil.i,OK,32.49032597,32.92799647,1414.979584,OK,22.29633423,22.34405982,81.010688,0.057252195660000005,1.4736801069999999
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-renesas-sh_eth_true-unreach-call.cil.i,OK,516.7763899,516.9803868,13371.02336,OK,402.39976889999997,402.4399565,138.75609599999999,0.01037737294,1.284614956
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-via-via-velocity_true-unreach-call.cil.i,OK,1332.481017,1332.5759699999999,12716.544,OK,1132.213554,1132.2959019999998,97.693696,0.007682409309,1.17687962
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-vmxnet3-vmxnet3_true-unreach-call.cil.i,OK,67.37119776,67.46797814,2153.242624,OK,49.04433263,49.12007457,88.13772800000001,0.04093255772,1.373531672
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-wireless-ath-ath10k-ath10k_pci_true-unreach-call.cil.i,OK,1446.197459,1446.3558779999998,16336.801790000001,OK,1140.760517,1140.8880570000001,154.210304,0.009439442674000001,1.267745655
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-wireless-rndis_wlan_true-unreach-call.cil.i,OK,706.7015834,706.9078565000001,19103.21562,OK,523.2857378,523.3760591,354.28352,0.018545753090000002,1.3506690730000002
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-wireless-rtl818x-rtl8180-rtl8180_true-unreach-call.cil.i,OK,249.4833183,249.62452709999997,8628.264959999999,OK,182.99757749999998,183.04884009999998,58.14272,0.006738634044,1.363704501
SVC/ldv-challenges/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-xen-netfront_false-unreach-call.cil.i,OK,51.689049,51.94414209,1960.398848,OK,35.27838636,35.40459012,85.426176,0.04357591624,1.4671584080000002
SVC/ldv-challenges/linux-3.14__complex_emg__linux-drivers-clk1__drivers-media-platform-vsp1-vsp1_true-unreach-call.cil.i,OK,406.67489930000005,406.8521399,3463.2826880000002,OK,356.2107729,356.30807680000004,83.341312,0.02406425334,1.141854946
SVC/ldv-challenges/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-can-mcp251x_true-unreach-call.cil.i,OK,25.84566811,26.18407094,997.9412480000001,OK,17.9953048,18.06845115,35.328,0.03540088164,1.4491596830000002
SVC/ldv-challenges/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-ethernet-cadence-macb_true-unreach-call.cil.i,OK,83.02626907,82.95191879,1951.3262079999997,OK,63.97017256,64.11611822,59.150335999999996,0.030312889639999997,1.293776372
SVC/ldv-challenges/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-ethernet-ethoc_false-unreach-call.cil.i,OK,28.61415129,28.76006758,762.6956799999999,OK,22.18001873,22.42812951,39.297024,0.05152385811000001,1.282321273
SVC/ldv-challenges/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-ethernet-neterion-s2io_true-unreach-call.cil.i,OK,24.30523637,24.52802086,1164.5460480000002,OK,18.04741391,18.16404626,124.899328,0.1072515151,1.350361065
