benchmark,walltime (s)-ikos,memory (MB)-ikos,walltime (s)-mikos,memory (MB)-mikos,memreduction
SVC/ldv-linux-3.16-rc1/205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wireless--rtl818x--rtl8187--rtl8187.ko-entry_point_false-unreach-call.cil.out.i,1499.916132,45904.92877,1313.82803,55.857152,0.001216800755
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--mmc--host--rtsx_pci_sdmmc.ko-entry_point_true-unreach-call.cil.out.i,786.5078659,26909.33146,594.8039856,42.299392,0.001571922813
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--video--fbdev--aty--radeonfb.ko-entry_point_true-unreach-call.cil.out.i,2493.932264,56752.3287,1930.127913,106.831872,0.001882422703
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--net--ethernet--marvell--skge.ko-entry_point_true-unreach-call.cil.out.i,3523.2280060000007,47392.37069,3130.855853,97.927168,0.002066306593
SVC/ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--usb--host--r8a66597-hcd.ko-entry_point_true-unreach-call.cil.out.i,220.3827603,17835.06944,150.83586169999995,39.38304,0.002208179796
